Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
80,99129670,7,6,291,11595,291,0,41.57142857,109.9876616,4344,0,1932.5,1754.831473,119.9035566,0.131141363,8260805.833,28600000.0,99100000,0,99100000,16500000.0,40500000.0,99100000,0,28405,5681.0,8173.083782,18139,48,0,0,0,0,232,200,0.07061458,0.060526783,0,4344,849.0,1462.294614,2138305.538,0,0,0,0,1,0,0,0,0,914.3076923,41.57142857,1932.5,232,0,0,0,0,0,0,7,291,6,11595,251,235,1,32,4.0,0.0,4,4,99100000.0,0.0,99100000,99100000
80,85878081,5,6,334,11595,322,0,66.8,142.6926768,7240,0,1932.5,2848.073577,138.9062245,0.128088563,8587808.1,27100000.0,85800000,37,85800000,21400000.0,42900000.0,85800000,997,85900000,17200000.0,38300000.0,85800000,56,0,0,0,0,144,200,0.058222074,0.069866489,0,7240,994.5833333,2157.4057,4654399.356,1,0,0,0,0,0,0,0,1,1085.0,66.8,1932.5,144,0,0,0,0,0,0,5,334,6,11595,0,235,2,20,4997.0,0.0,4997,4997,85800000.0,0.0,85800000,85800000
80,86554956,6,7,422,11595,410,0,70.33333333,166.4279624,5792,0,1656.428571,2429.118623,138.8366485,0.150193595,7212913.0,24700000.0,85600000,3,86600000,17300000.0,38100000.0,85600000,235,86600000,14400000.0,35300000.0,86600000,3,0,0,0,0,184,232,0.069320121,0.080873474,0,5792,858.7857143,1849.179035,3419463.104,1,0,0,0,0,0,0,0,1,924.8461538,70.33333333,1656.428571,184,0,0,0,0,0,0,6,422,7,11595,0,235,2,20,4585.0,0.0,4585,4585,85600000.0,0.0,85600000,85600000
31337,78,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,76923.07692,25641.02564,78.0,0.0,78,78,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,12820.51282,12820.51282,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0
80,3272139,2,0,374,0,187,187,187.0,0.0,0,0,0.0,0.0,114.2983229,0.611220978,3272139.0,0.0,3272139,3272139,3272139,3272139.0,0.0,3272139,3272139,0,0.0,0.0,0,0,1,0,0,0,64,0,0.611220978,0.0,187,187,187.0,0.0,0.0,0,1,0,0,1,1,0,0,0,280.5,187.0,0.0,64,0,0,0,0,0,0,2,374,0,0,229,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
80,78878377,8,6,56,11607,20,0,7.0,5.656854249,5840,0,1934.5,2538.919278,147.8605474,0.177488439,6067567.462,18300000.0,66300000,2,77100000,11000000.0,24700000.0,66300000,2,1818196,363639.2,812668.1095,1817384,3,0,0,0,0,172,132,0.101421965,0.076066474,0,5840,777.9333333,1804.898987,3257660.352,0,0,0,0,1,0,0,0,0,833.5,7.0,1934.5,172,0,0,0,0,0,0,8,56,6,11607,256,229,6,20,2102.0,0.0,2102,2102,38500000.0,39200000.0,66300000,10800000
80,75045529,8,6,56,11607,20,0,7.0,5.656854249,4380,0,1934.5,2177.344966,155.4123231,0.186553419,5772733.0,19300000.0,69700000,15,73200000,10500000.0,26200000.0,69700000,21,1856021,371204.2,829455.3875,1854979,15,0,0,0,0,172,132,0.106601954,0.079951465,0,4380,777.9333333,1627.46176,2648631.781,0,0,0,0,1,0,0,0,0,833.5,7.0,1934.5,172,0,0,0,0,0,0,8,56,6,11607,256,229,6,20,3441673.0,0.0,3441673,3441673,69700000.0,0.0,69700000,69700000
80,20997184,2,1,8,0,8,0,4.0,5.656854249,0,0,0.0,0.0,0.381003472,0.142876302,10500000.0,14800000.0,21000000,66,21000000,21000000.0,0.0,21000000,21000000,0,0.0,0.0,0,0,1,0,0,0,64,32,0.095250868,0.047625434,0,8,4.0,4.618802154,21.33333333,0,1,0,0,1,0,0,0,0,5.333333333,4.0,0.0,64,0,0,0,0,0,0,2,8,1,0,229,235,0,32,0.0,0.0,0,0,0.0,0.0,0,0
80,99465844,8,6,56,11601,20,0,7.0,5.656854249,4380,0,1933.5,1757.789948,117.1960095,0.140751834,7651218.769,26800000.0,97000000,1,98900000,14100000.0,36500000.0,97000000,1,544628,108925.6,229583.2742,519155,15,0,0,0,0,172,132,0.08042962,0.060322215,0,4380,777.5333333,1434.571657,2057995.838,0,0,0,0,1,0,0,0,0,833.0714286,7.0,1933.5,172,0,0,0,0,0,0,8,56,6,11601,256,229,6,20,1962015.0,0.0,1962015,1962015,97000000.0,0.0,97000000,97000000
4443,75,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,106666.6667,26666.66667,75.0,0.0,75,75,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,13333.33333,13333.33333,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0
80,100268636,7,7,630,11595,306,0,90.0,147.5804865,4344,0,1656.428571,2118.227235,121.9224723,0.139624917,7712972.0,27700000.0,99900000,1,100000000,16700000.0,40800000.0,99900000,1,100000000,16700000.0,40800000.0,99900000,2,0,0,0,0,196,232,0.069812459,0.069812459,0,4344,815.4,1611.163457,2595847.686,1,0,0,0,0,0,0,0,1,873.6428571,90.0,1656.428571,196,0,0,0,0,0,0,7,630,7,11595,0,235,4,20,9997.0,0.0,9997,9997,99900000.0,0.0,99900000,99900000
80,99045667,8,6,993,11595,331,0,124.125,171.3087751,5792,0,1932.5,2181.008184,127.0928894,0.14134894,7618897.462,27300000.0,98500000,1,98900000,14100000.0,37200000.0,98500000,1,570401,114080.2,188296.3798,434019,46,0,0,0,0,264,200,0.080770823,0.060578117,0,5792,839.2,1602.590635,2568296.743,0,0,0,0,1,0,0,0,0,899.1428571,124.125,1932.5,264,0,0,0,0,0,0,8,993,6,11595,251,235,3,32,265.0,0.0,265,265,98500000.0,0.0,98500000,98500000
16001,47,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,170212.766,42553.19149,47.0,0.0,47,47,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,21276.59574,21276.59574,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0
80,98675786,9,6,333,11595,333,0,37.0,111.0,4344,0,1932.5,1977.812908,120.8807194,0.152012977,7048270.429,26400000.0,98700000,1,98700000,12300000.0,34900000.0,98700000,1,10370,2074.0,4355.722271,9865,48,0,0,0,0,296,200,0.091207786,0.060805191,0,4344,745.5,1487.382981,2212308.133,0,0,0,0,1,0,0,0,0,795.2,37.0,1932.5,296,0,0,0,0,0,0,9,333,6,11595,251,235,1,32,1080.0,0.0,1080,1080,98700000.0,0.0,98700000,98700000
80,93049,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,257.9286183,42.98810304,31016.33333,52867.65081,92060,3,93049,31016.33333,52867.65081,92060,3,0,0.0,0.0,0,0,0,0,0,0,80,0,42.98810304,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0
80,9011,2,1,12,0,6,6,6.0,0.0,0,0,0.0,0.0,1331.705693,332.9264233,4505.5,6360.425497,9003,8,9011,9011.0,0.0,9011,9011,0,0.0,0.0,0,0,0,0,0,0,40,32,221.9509488,110.9754744,0,6,4.5,3.0,9.0,1,0,0,0,0,0,0,0,0,6.0,6.0,0.0,40,0,0,0,0,0,0,2,12,1,0,0,235,1,20,0.0,0.0,0,0,0.0,0.0,0,0
21,274,2,1,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,51094.89051,10948.90511,137.0,147.0782105,241,33,274,274.0,0.0,274,274,0,0.0,0.0,0,0,1,0,0,0,64,20,7299.270073,3649.635036,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333333,7.0,0.0,64,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0
6666,85,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,94117.64706,23529.41176,85.0,0.0,85,85,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,11764.70588,11764.70588,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0
3370,56,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,142857.1429,35714.28571,56.0,0.0,56,56,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,17857.14286,17857.14286,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0
80,8895789,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,3.372382146,0.562063691,2223947.25,4445236.672,8891802,4,8895789,2223947.25,4445236.672,8891802,4,0,0.0,0.0,0,0,0,0,0,0,100,0,0.562063691,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,3987.0,0.0,3987,3987,8891802.0,0.0,8891802,8891802
1533,43,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,186046.5116,46511.62791,43.0,0.0,43,43,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,23255.81395,23255.81395,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0
80,11396419,8,5,1540,3525,385,0,192.5,205.7911563,2077,0,705.0,990.6447396,444.4378537,1.1407092,949701.5833,2031495.177,5564056,39,6396077,913725.2857,2057364.429,5566237,350,11400000,2849095.0,2840408.644,5564056,192,0,0,0,0,264,168,0.701974892,0.438734308,0,2077,361.7857143,630.6948767,397776.0275,0,0,0,1,0,0,0,0,0,389.6153846,192.5,705.0,264,0,0,0,0,0,0,8,1540,5,3525,29200,235,4,32,829537.0,0.0,829537,829537,5564056.0,0.0,5564056,5564056
80,4,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,500000.0,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,0,0,0,0,64,0,500000.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,274,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
80,18578,3,4,26,11601,20,0,8.666666667,10.26320288,8760,0,2900.25,4128.319301,625847.7769,376.7897513,3096.333333,5038.96488,12819,10,5225,2612.5,2519.421461,4394,831,18568,6189.333333,6257.157209,12819,387,0,0,0,0,72,92,161.481322,215.3084293,0,8760,1453.375,3113.952607,9696700.839,0,0,0,1,0,0,0,0,1,1661.0,8.666666667,2900.25,72,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0
80,85660217,5,8,365,11595,353,0,73.0,156.5535052,4344,0,1449.375,1547.981999,139.6214067,0.151762399,7138351.417,24700000.0,85500000,4,85500000,21400000.0,42700000.0,85500000,4,85700000,12200000.0,32300000.0,85500000,15,0,0,0,0,144,264,0.058370153,0.093392245,0,4344,854.7142857,1343.830543,1805880.527,1,0,0,0,0,0,0,0,1,920.4615385,73.0,1449.375,144,0,0,0,0,0,0,5,365,8,11595,0,235,2,20,10986.0,0.0,10986,10986,85500000.0,0.0,85500000,85500000
80,85284865,8,5,380,11595,374,0,47.5,131.9426282,8688,0,2319.0,3774.237539,140.4117835,0.152430329,7107072.083,24600000.0,85100000,1,85200000,12200000.0,32200000.0,85100000,1,147376,36844.0,65137.93052,134126,64,0,0,0,0,252,168,0.093803279,0.058627049,0,8688,855.3571429,2382.069094,5674253.17,0,0,0,0,1,0,0,0,0,921.1538462,47.5,2319.0,252,0,0,0,0,0,0,8,380,5,11595,251,235,2,20,3799.0,0.0,3799,3799,85100000.0,0.0,85100000,85100000
80,5638042,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.709466159,1879347.333,3254367.309,5637167,127,5638042,2819021.0,3985460.294,5637167,875,0,0.0,0.0,0,0,0,0,0,0,104,40,0.532099619,0.17736654,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0
80,85071308,6,5,290,11595,290,0,48.33333333,118.3920042,4344,0,2319.0,2196.731436,139.7063273,0.12930329,8507130.8,26800000.0,84900000,3,84900000,17000000.0,38000000.0,84900000,3,149643,37410.75,66129.78241,136192,163,0,0,0,0,200,168,0.070529067,0.058774223,0,4344,990.4166667,1771.089005,3136756.265,0,0,0,0,1,0,0,0,0,1080.454545,48.33333333,2319.0,200,0,0,0,0,0,0,6,290,5,11595,251,235,1,32,1003.0,0.0,1003,1003,84900000.0,0.0,84900000,84900000
80,7998805,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,3.75056024,0.625093373,1999701.25,3997395.251,7995794,3,7998805,1999701.25,3997395.251,7995794,3,0,0.0,0.0,0,0,0,0,0,0,100,0,0.625093373,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,3011.0,0.0,3011,3011,7995794.0,0.0,7995794,7995794
1092,36,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,222222.2222,55555.55556,36.0,0.0,36,36,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,27777.77778,27777.77778,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0
80,85803527,6,5,324,11595,324,0,54.0,132.2724461,7240,0,2319.0,3331.638186,138.9103737,0.128199858,8580352.7,27100000.0,85700000,43,85700000,17100000.0,38300000.0,85700000,206,145431,36357.75,62911.78846,130133,85,0,0,0,0,200,168,0.069927195,0.058272663,0,7240,993.25,2326.809877,5414044.205,0,0,0,0,1,0,0,0,0,1083.545455,54.0,2319.0,200,0,0,0,0,0,0,6,324,5,11595,251,235,1,32,472.0,0.0,472,472,85700000.0,0.0,85700000,85700000
80,85872032,7,6,332,11595,332,0,47.42857143,125.484205,4344,0,1932.5,1754.831473,138.8927189,0.151388056,7156002.667,24500000.0,84900000,0,85900000,14300000.0,34600000.0,84900000,0,6694,1338.8,2757.298442,6270,46,0,0,0,0,240,200,0.081516646,0.069871411,0,4344,851.9285714,1461.131725,2134905.918,0,0,0,0,1,0,0,0,0,917.4615385,47.42857143,1932.5,240,0,0,0,0,0,0,7,332,6,11595,251,235,1,32,1.0,0.0,1,1,84900000.0,0.0,84900000,84900000
80,99456782,7,6,311,11595,305,0,44.42857143,114.9229556,4344,0,1932.5,1754.831473,119.7102878,0.13071004,8288065.167,28700000.0,99300000,1,99300000,16600000.0,40500000.0,99300000,1,150519,30103.8,61217.86672,139288,14,0,0,0,0,220,200,0.070382329,0.060327711,0,4344,850.4285714,1461.620898,2136335.648,0,0,0,0,1,0,0,0,0,915.8461538,44.42857143,1932.5,220,0,0,0,0,0,0,7,311,6,11595,251,235,2,20,1959.0,0.0,1959,1959,99300000.0,0.0,99300000,99300000
2002,31,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,193548.3871,64516.12903,31.0,0.0,31,31,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,32258.06452,32258.06452,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0
2260,49,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,122448.9796,40816.32653,49.0,0.0,49,49,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,20408.16327,20408.16327,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0
1721,44,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,136363.6364,45454.54545,44.0,0.0,44,44,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,22727.27273,22727.27273,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0
80,8558165,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,2.804339482,0.467389914,2852721.667,4941058.0,8558164,0,8558165,2852721.667,4941058.0,8558164,0,0,0.0,0.0,0,0,0,0,0,0,80,0,0.467389914,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,1.0,0.0,1,1,8558164.0,0.0,8558164,8558164
80,86927162,8,6,56,11607,20,0,7.0,5.656854249,4380,0,1934.5,2177.344966,134.1698007,0.161054378,6686704.769,21700000.0,78600000,2,86900000,12400000.0,29300000.0,78600000,2,37175,7435.0,16094.5673,36218,3,0,0,0,0,172,132,0.092031073,0.069023305,0,4380,777.9333333,1627.46176,2648631.781,0,0,0,0,1,0,0,0,0,833.5,7.0,1934.5,172,0,0,0,0,0,0,8,56,6,11607,256,229,6,20,406.0,0.0,406,406,43400000.0,49700000.0,78600000,8303353
80,84663187,7,6,335,11595,335,0,47.85714286,126.6180985,4344,0,1932.5,1754.831473,140.911303,0.153549618,7055265.583,24400000.0,84500000,4,84500000,14100000.0,34500000.0,84500000,4,149518,29903.6,60191.7678,137179,48,0,0,0,0,232,200,0.082680563,0.070869054,0,4344,852.1428571,1461.049826,2134666.593,0,0,0,0,1,0,0,0,0,917.6923077,47.85714286,1932.5,232,0,0,0,0,0,0,7,335,6,11595,251,235,1,32,551.0,0.0,551,551,84500000.0,0.0,84500000,84500000
1717,43,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,186046.5116,46511.62791,43.0,0.0,43,43,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,23255.81395,23255.81395,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0
